edge_axis-x,edge_axis-y,X1,Y1,X2,Y2,conner_axis-X,conner_axis-Y
134,15,177.0,142.0,177.0,161.0,14.0,159.0
135,15,70.0,50.0,84.0,43.0,25.0,97.0
136,15,176.0,41.0,186.0,45.0,61.0,55.0
137,15,159.0,36.0,161.0,36.0,190.0,46.0
137,158,24.0,100.0,28.0,94.0,14.0,148.0
137,159,29.0,91.0,39.0,78.0,218.0,68.0
137,160,205.0,57.0,215.0,67.0,14.0,159.0
137,161,85.0,140.0,174.0,140.0,25.0,97.0
137,162,57.0,60.0,66.0,52.0,61.0,55.0
137,163,190.0,46.0,203.0,57.0,190.0,46.0
138,15,211.0,62.0,225.0,76.0,14.0,148.0
139,15,202.0,55.0,207.0,60.0,218.0,68.0
140,15,17.0,124.0,17.0,122.0,14.0,159.0
140,83,36.0,80.0,57.0,59.0,25.0,97.0
140,85,98.0,38.0,104.0,36.0,61.0,55.0
140,86,20.0,113.0,23.0,102.0,190.0,46.0
140,87,225.0,78.0,230.0,83.0,14.0,148.0
140,88,67.0,52.0,69.0,51.0,218.0,68.0
140,89,15.0,163.0,15.0,131.0,14.0,159.0
140,90,126.0,33.0,144.0,33.0,25.0,97.0
140,91,83.0,169.0,83.0,150.0,61.0,55.0
140,92,177.0,142.0,177.0,161.0,190.0,46.0
140,93,70.0,50.0,84.0,43.0,14.0,148.0
140,94,176.0,41.0,186.0,45.0,218.0,68.0
140,95,159.0,36.0,161.0,36.0,14.0,159.0
140,96,24.0,100.0,28.0,94.0,25.0,97.0
140,97,29.0,91.0,39.0,78.0,61.0,55.0
140,98,205.0,57.0,215.0,67.0,190.0,46.0
140,99,85.0,140.0,174.0,140.0,14.0,148.0
140,100,57.0,60.0,66.0,52.0,218.0,68.0
140,101,190.0,46.0,203.0,57.0,14.0,159.0
140,102,211.0,62.0,225.0,76.0,25.0,97.0
140,103,202.0,55.0,207.0,60.0,61.0,55.0
140,104,17.0,124.0,17.0,122.0,190.0,46.0
140,105,36.0,80.0,57.0,59.0,14.0,148.0
140,106,98.0,38.0,104.0,36.0,218.0,68.0
140,107,20.0,113.0,23.0,102.0,14.0,159.0
140,108,225.0,78.0,230.0,83.0,25.0,97.0
140,109,67.0,52.0,69.0,51.0,61.0,55.0
140,110,15.0,163.0,15.0,131.0,190.0,46.0
140,111,126.0,33.0,144.0,33.0,14.0,148.0
140,112,83.0,169.0,83.0,150.0,218.0,68.0
140,113,177.0,142.0,177.0,161.0,14.0,159.0
140,114,70.0,50.0,84.0,43.0,25.0,97.0
140,115,176.0,41.0,186.0,45.0,61.0,55.0
140,116,159.0,36.0,161.0,36.0,190.0,46.0
140,117,24.0,100.0,28.0,94.0,14.0,148.0
